6018NORTH|3000|2017|(Duration 1 year)|
Aerial Dance Chicago|23000|2017|(Duration 2 years)|
Albany Park Theater Project|50000|2017|(Duration 1 year)|Albany Park Theater Project founded in 1997 is a multi-ethnic youth theater ensemble that develops original plays about social justice issues based on the life experiences of its participants and their communities The ensemble members live in Albany Park a diverse community on Chicago’s northwest side and trace their roots to more than 30 countries With this International Connections Fund award Albany Park Theater Project collaborates with a theater in the United Kingdom to examine the youth response to two national elections in 2016 with significant societal implications specifically the “Brexit” vote in the United Kingdom and the presidential election in the United States Award funds will be used to support travel lodging stipends supplies programs and events
American Bar Association Fund for Justice and Education|55000|2017|(Duration 6 months)|The American Bar Association Fund for Justice and Education supports the public service and educational programs of the American Bar Association (ABA) With over 400000 members the ABA is the voice of the legal profession in the United States This award enables the ABA Center for Innovation to support hurricane and flood victims through the expansion of FloodProof a web-based tool and application to help secure housing title and other critical documentation needed to receive federal state and local relief and compensation        
Arab American Action Network|25000|2017|(Duration 8 months)|Founded in 1972 as the Arab Community Center the Arab American Action Network (AAAN) strives to strengthen the Arab community in the Chicago area by building its capacity to be an active agent for positive social change Its strategies include community organizing advocacy education providing social services leadership development cultural outreach and forging productive relationships with other communities With this award AAAN responds to changes in federal immigration law and policy in two ways First it educates Arab and Muslim communities in Chicago on the policy shifts through workshops and “Know Your Rights” sessions Second it convenes peer organizations from New York and San Francisco in strategy sessions to develop a long-term plan for preserving the civil rights and civil liberties of Arab Americans Muslims immigrants and others who may face discrimination under federal policies        
archi-Treasures|13000|2017|(Duration 1 year)|
Art Institute of Chicago|50000|2017|(Duration 1 year)|The Art Institute of Chicago is one of the premier encyclopedic visual art museums in the world  The Art Institute is collaborating with South African A4 Arts Foundation on an exchange that explores the intersections of curatorship community-based arts education and contemporary art of Africa and the African diaspora Award funds will be used to support travel accommodations documentation and a public symposium in Chicago        
Artists' Cooperative Residency and Exhibitions Project|8000|2017|(Duration 1 year)|
Asian Americans Advancing Justice-Chicago|50000|2017|(Duration 9 months)|Founded in 1992 Asian Americans Advancing Justice-Chicago (AAAJC) is a pan-Asian nonpartisan nonprofit organization whose mission is to empower the Asian American community through advocacy by conducting public education With this award AAAJC expands the activities of two existing leadership programs one for Asian American youth and one for immigrant and refugee adults The programs provide training to equip participants with the tools to engage in grassroots organizing and advocacy AAAJC’s goal is to enhance Asian American civic participation around issues of racial justice and immigrant integration        
Asian Americans Advancing Justice-Chicago|125000|2017|(Duration 1 year)|Founded in 1992 Asian Americans Advancing Justice-Chicago (AAAJC) is a pan-Asian nonpartisan nonprofit organization whose mission is to empower the Asian American community through advocacy by conducting public education With this award AAAJC expands the activities of two existing leadership programs one for Asian American youth and one for immigrant and refugee adults The programs provide training to equip participants with the tools to engage in grassroots organizing and advocacy AAAJC’s goal is to enhance Asian American civic participation around issues of racial justice and immigrant integration        
AstonRep|4000|2017|(Duration 1 year)|
Audible Odyssey NFP|3000|2017|(Duration 1 year)|
Bach Week Festival|18000|2017|(Duration 2 years)|
Bella Voce|5000|2017|(Duration 1 year)|
Better Boys Foundation|250000|2017|(Duration 1 year)|The mission of the Better Boys Foundation is to improve the quality of life for North Lawndale youth and their families by providing safe stable and nurturing experiences that enhance their emotional social academic and career development Now known as BBF Family Services (BBF) the organization has provided comprehensive human service programming in North Lawndale for over 56 years BBF's Youth Services program helps children and young adults evolve into leaders in their communities This award enables BBF to upgrade its technology infrastructure to serve more youth and improve its programs        
Black Ensemble Theater|300000|2017|(Duration 2 years)|The Black Ensemble Theater (BET) commissions and stages original musical theater productions each year that document preserve and highlight the achievements of African Americans while pursuing its mission to eradicate racism and its damaging effects upon society BET moved in 2011 to a new theater designed to serve the community in a struggling part of the Uptown neighborhood in Chicago For the next phase of growth it purchased land around its facility which is being developed to create sustainable revenue streams for BET and complement its ongoing programmatic work This award provides increased staff and technology support as BET builds its cultural campus        
Black Ensemble Theater|300000|2017|(Duration 5 years)|The Black Ensemble Theater (BET) commissions and stages original musical theater productions each year that document preserve and highlight the achievements of African Americans while pursuing its mission to eradicate racism and its damaging effects upon society BET moved in 2011 to a new theater designed to serve the community in a struggling part of the Uptown neighborhood in Chicago For the next phase of growth it purchased land around its facility which is being developed to create sustainable revenue streams for BET and complement its ongoing programmatic work This award provides increased staff and technology support as BET builds its cultural campus        
