1,Chicago Community Trust,"$20,000",2014,for its fundraising initiative with Fortune 500 corporations
2,Chicago Community Trust,"$5,000",2014,for general operating support
2,Chicago Community Trust,"$5,000",2015,for general operating support
3,Chicago Community Trust,"$25,000",2013,"for the development of Interpretive, Management and Restoration Plans that will preserve and transform the 11th floor of Columbia College into an educational exhibit space"
3,Chicago Community Trust,"$15,000",2013,for Story Week in collaboration with the Guild Complex
4,Latino Giving Circle,"$5,000",2014,financial management
4,Nuestro Futuro,"$10,000",2015,for strategic planning
5,Chicago Community Trust,"$50,000",2013,for the Sustaining an Aging Population program
6,Chicago Community Trust,"$2,500",2015,General Operating Support
7,Chicago Community Trust,"$5,000",2013,for support of direct assistance to persons needing emergency relief services
7,Chicago Community Trust,"$5,000",2014,for support of direct assistance to persons needing emergency relief services
8,Chicago Community Trust,"$4,000",2014,for support of direct assistance to persons needing emergency relief services
8,Chicago Community Trust,"$50,000",2013,for the Path to Healthy Living program
8,Chicago Community Trust,"$55,000",2014,for the Path To Healthy Living Program
9,Chicago Community Trust,"$60,000",2013,for the Improving Health and Access for Transition-Aged Youth Initiative
10,Chicago Community Trust,"$300,000",2014,Support of research to be conducted by Mitchell Guttman
11,Chicago Community Trust,"$20,000",2013,"for a consultant to develop collaboration with AIDS Foundation, Howard Brown Health Center and Center on Halsted"
11,Chicago Community Trust,"$12,500",2013,for general operating support
11,Chicago Community Trust,"$5,000",2014,for general operating support
11,Chicago Community Trust,"$5,000",2013,for support of direct assistance to persons needing emergency relief services
11,Chicago Community Trust,"$5,000",2014,for support of direct assistance to persons needing emergency relief services
11,Chicago Community Trust,"$55,000",2013,for the PATHway Program
11,Chicago Community Trust,"$55,000",2014,for the PATHway Program
11,Chicago Community Trust,"$50,000",2015,for the PATHway Program
12,Arts Work Fund,"$7,700",2013,To support the identification and selection of a comprehensive program and assessment database
12,Chicago Community Trust,"$50,000",2013,for participation in the Arts Learning programs
12,Chicago Community Trust,"$50,000",2014,for participation in the Arts Learning programs
